Tensei Kenja wa Musume to Kurasu || Viewed: Chapter 6.1  
The Crafty Mage: Frontier Settling Made Easy || Viewed: Chapter 14  
Leveling Up With Likes || Viewed: Chapter 51  
He Didn't Want To Be The Center Of Attention, Hence, After Defeating The Demon Lord, He Became A Guild Master || Viewed: Chapter 31  
Little Tyrant Doesn't Want To Meet With A Bad End || Viewed: Chapter 59  
The Imperious Young Lord || Viewed: Chapter 2  
Musuko ga Kawaikute Shikataganai Mazoku no Hahaoya || Viewed: Chapter 1  
Dragon Throne || Viewed: Chapter 57  
I’Ll Be Taking A Break For Personal Reasons || Viewed: Chapter 94  
Foreigner On The Periphery || Viewed: Chapter 41  
Assassin's Pride || Viewed: Chapter 47  
Class Ga Isekai Shoukan Sareta Naka Ore Dake Nokotta N Desu Ga || Viewed: Chapter 30  
The Healing Priest Of The Sun || Viewed: Chapter 74  
Hisshou Dungeon Unei Houhou || Viewed: Chapter 22  
Kill The Hero || Viewed: Chapter 144  
I'm Not The Hero! || Viewed: Chapter 24  
I Just Want To Game In Peace || Viewed: Chapter 128  
